shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
SH101A,9.9281,-84.0907,1,0
SH101A,9.9295,-84.0890,2,0.3
SH101A,9.9310,-84.0865,3,0.6
SH101A,9.9340,-84.0820,4,1.0
SH101A,9.9380,-84.0760,5,1.5
SH101A,9.9420,-84.0700,6,2.0
SH101A,9.9465,-84.0665,7,2.5
SH101A,9.9500,-84.0650,8,3.0
SH101A,9.9550,-84.0680,9,3.5
SH101A,9.9600,-84.0750,10,4.0
SH101A,9.9620,-84.0850,11,4.5
SH101A,9.9600,-84.0950,12,5.0
SH101A,9.9580,-84.1050,13,5.5
SH101A,9.9600,-84.1150,14,6.0
SH101A,9.9620,-84.1250,15,6.5
SH101A,9.9600,-84.1350,16,7.0
SH101A,9.9580,-84.1450,17,7.5
SH101A,9.9550,-84.1550,18,8.0
SH101A,9.9500,-84.1650,19,8.5
SH101A,9.9450,-84.1720,20,9.0
SH101A,9.0350,-84.1800,21,9.5
SH101A,10.0050,-84.1950,22,10.5
SH101A,10.0100,-84.2020,23,11.0
SH101A,10.0145,-84.2090,24,11.5
SH101A,10.0163,-84.2119,25,12.0
SH101B,10.0163,-84.2119,1,0
SH101B,10.0145,-84.2090,2,0.5
SH101B,10.0100,-84.2020,3,1.0
SH101B,10.0050,-84.1950,4,1.5
SH101B,9.9500,-84.1720,5,5.0
SH101B,9.9450,-84.1650,6,5.5
SH101B,9.9400,-84.1550,7,6.0
SH101B,9.9380,-84.1450,8,6.5
SH101B,9.9400,-84.1350,9,7.0
SH101B,9.9420,-84.1250,10,7.5
SH101B,9.9450,-84.1150,11,8.0
SH101B,9.9480,-84.1050,12,8.5
SH101B,9.9500,-84.0950,13,9.0
SH101B,9.9480,-84.0850,14,9.5
SH101B,9.9450,-84.0780,15,10.0
SH101B,9.9400,-84.0720,16,10.5
SH101B,9.9350,-84.0680,17,11.0
SH101B,9.9300,-84.0930,18,11.8
SH101B,9.9281,-84.0907,19,12.0
SH201A,9.9281,-84.0907,1,0
SH201A,9.9300,-84.0850,2,0.5
SH201A,9.9310,-84.0780,3,1.0
SH201A,9.9320,-84.0700,4,1.5
SH201A,9.9335,-84.0620,5,2.0
SH201A,9.9335,-84.0550,6,2.5
SH201A,9.9335,-84.0510,7,2.8
SH201A,9.9340,-84.0480,8,3.0
SH201A,9.9360,-84.0440,9,3.3
SH201A,9.9380,-84.0400,10,3.6
SH201A,9.9400,-84.0360,11,3.9
SH201A,9.9420,-84.0320,12,4.2
SH201A,9.9450,-84.0300,13,4.5
SH201A,9.9480,-84.0280,14,4.8
SH201A,9.9500,-84.0250,15,5.1
SH201A,9.9550,-84.0200,16,5.5
SH201A,9.9600,-84.0180,17,5.8
SH201A,9.9650,-84.0150,18,6.1
SH201A,9.9700,-84.0140,19,6.4
SH201A,9.9750,-84.0130,20,6.7
SH201A,9.9800,-84.0140,21,7.0
SH201A,9.9850,-84.0160,22,7.3
SH201A,9.9900,-84.0180,23,7.6
