trip_id,stop_id,arrival_time,departure_time,stop_sequence
T101A_WD,SJO001,05:30:00,05:30:00,1
T101A_WD,SJO002,05:33:00,05:34:00,2
T101A_WD,SJO009,05:38:00,05:39:00,3
T101A_WD,INT007,05:42:00,05:43:00,4
T101A_WD,INT008,05:46:00,05:47:00,5
T101A_WD,INT002,05:50:00,05:51:00,6
T101A_WD,INT001,05:54:00,05:55:00,7
T101A_WD,ALA005,05:58:00,05:59:00,8
T101A_WD,ALA006,06:02:00,06:03:00,9
T101A_WD,ALA003,06:06:00,06:07:00,10
T101A_WD,ALA002,06:09:00,06:10:00,11
T101A_WD,ALA001,06:12:00,06:12:00,12
T101B_WD,ALA001,05:45:00,05:45:00,1
T101B_WD,ALA002,05:48:00,05:49:00,2
T101B_WD,ALA003,05:52:00,05:53:00,3
T101B_WD,ALA006,05:56:00,05:57:00,4
T101B_WD,ALA005,06:00:00,06:01:00,5
T101B_WD,INT002,06:05:00,06:06:00,6
T101B_WD,INT008,06:09:00,06:10:00,7
T101B_WD,INT007,06:13:00,06:14:00,8
T101B_WD,INT009,06:18:00,06:19:00,9
T101B_WD,SJO001,06:25:00,06:25:00,10
T101A_SA,SJO001,06:00:00,06:00:00,1
T101A_SA,SJO002,06:04:00,06:05:00,2
T101A_SA,SJO009,06:10:00,06:11:00,3
T101A_SA,INT007,06:15:00,06:16:00,4
T101A_SA,INT008,06:20:00,06:21:00,5
T101A_SA,INT002,06:25:00,06:26:00,6
T101A_SA,INT001,06:30:00,06:31:00,7
T101A_SA,ALA005,06:35:00,06:36:00,8
T101A_SA,ALA006,06:40:00,06:41:00,9
T101A_SA,ALA001,06:50:00,06:50:00,10
T101B_SA,ALA001,07:00:00,07:00:00,1
T101B_SA,ALA006,07:05:00,07:06:00,2
T101B_SA,ALA005,07:10:00,07:11:00,3
T101B_SA,INT002,07:18:00,07:19:00,4
T101B_SA,INT008,07:24:00,07:25:00,5
T101B_SA,INT007,07:30:00,07:31:00,6
T101B_SA,SJO009,07:36:00,07:37:00,7
T101B_SA,SJO001,07:45:00,07:45:00,8
T101A_SU,SJO001,07:00:00,07:00:00,1
T101A_SU,INT009,07:08:00,07:09:00,2
T101A_SU,INT008,07:15:00,07:16:00,3
T101A_SU,INT002,07:22:00,07:23:00,4
T101A_SU,INT001,07:28:00,07:29:00,5
T101A_SU,ALA005,07:35:00,07:36:00,6
T101A_SU,ALA001,07:50:00,07:50:00,7
T101B_SU,ALA001,08:00:00,08:00:00,1
T101B_SU,ALA005,08:10:00,08:11:00,2
T101B_SU,INT002,08:20:00,08:21:00,3
T101B_SU,INT008,08:28:00,08:29:00,4
T101B_SU,SJO001,08:40:00,08:40:00,5
T201A_WD,SJO001,05:15:00,05:15:00,1
T201A_WD,SJO006,05:20:00,05:21:00,2
T201A_WD,SJO007,05:23:00,05:24:00,3
T201A_WD,INT005,05:27:00,05:28:00,4
T201A_WD,INT006,05:30:00,05:31:00,5
T201A_WD,SJO009,05:34:00,05:35:00,6
T201A_WD,GUA001,05:38:00,05:39:00,7
T201A_WD,INT007,05:42:00,05:43:00,8
T201A_WD,HER003,05:46:00,05:47:00,9
T201A_WD,HER002,05:49:00,05:50:00,10
T201A_WD,HER001,05:52:00,05:52:00,11
T201B_WD,HER001,05:30:00,05:30:00,1
T201B_WD,HER002,05:33:00,05:34:00,2
T201B_WD,HER003,05:36:00,05:37:00,3
T201B_WD,INT007,05:40:00,05:41:00,4
T201B_WD,GUA001,05:44:00,05:45:00,5
T201B_WD,SJO009,05:48:00,05:49:00,6
T201B_WD,INT006,05:52:00,05:53:00,7
T201B_WD,INT005,05:55:00,05:56:00,8
T201B_WD,SJO007,05:59:00,06:00:00,9
T201B_WD,SJO001,06:05:00,06:05:00,10
T201A_SA,SJO001,06:15:00,06:15:00,1
T201A_SA,SJO006,06:22:00,06:23:00,2
T201A_SA,INT005,06:30:00,06:31:00,3
T201A_SA,INT006,06:34:00,06:35:00,4
T201A_SA,GUA001,06:42:00,06:43:00,5
T201A_SA,HER003,06:50:00,06:51:00,6
T201A_SA,HER001,06:58:00,06:58:00,7
T201B_SA,HER001,07:15:00,07:15:00,1
T201B_SA,HER003,07:22:00,07:23:00,2
T201B_SA,GUA001,07:30:00,07:31:00,3
T201B_SA,INT006,07:38:00,07:39:00,4
T201B_SA,INT005,07:42:00,07:43:00,5
T201B_SA,SJO001,07:52:00,07:52:00,6
T301A_WD,SJO001,05:00:00,05:00:00,1
T301A_WD,SJO004,05:04:00,05:05:00,2
T301A_WD,INT010,05:08:00,05:09:00,3
T301A_WD,INT003,05:15:00,05:16:00,4
T301A_WD,CAR004,05:25:00,05:26:00,5
T301A_WD,CAR005,05:35:00,05:36:00,6
T301A_WD,CAR008,05:42:00,05:43:00,7
T301A_WD,CAR002,05:48:00,05:49:00,8
T301A_WD,CAR001,05:52:00,05:52:00,9
T301B_WD,CAR001,05:30:00,05:30:00,1
T301B_WD,CAR002,05:34:00,05:35:00,2
T301B_WD,CAR008,05:38:00,05:39:00,3
T301B_WD,CAR005,05:46:00,05:47:00,4
T301B_WD,CAR004,05:55:00,05:56:00,5
T301B_WD,INT003,06:05:00,06:06:00,6
T301B_WD,INT010,06:14:00,06:15:00,7
T301B_WD,SJO004,06:20:00,06:21:00,8
T301B_WD,SJO001,06:25:00,06:25:00,9
T301A_SA,SJO001,06:00:00,06:00:00,1
T301A_SA,SJO004,06:06:00,06:07:00,2
T301A_SA,INT010,06:12:00,06:13:00,3
T301A_SA,INT003,06:22:00,06:23:00,4
T301A_SA,CAR004,06:35:00,06:36:00,5
T301A_SA,CAR005,06:48:00,06:49:00,6
T301A_SA,CAR001,07:05:00,07:05:00,7
T301B_SA,CAR001,07:30:00,07:30:00,1
T301B_SA,CAR005,07:40:00,07:41:00,2
T301B_SA,CAR004,07:52:00,07:53:00,3
